skill_match_score,missing_skills_count,timeline_weeks,complexity_score,team_size,ai_required,dataset_required,deployment_required,academic_value,market_value,completed_successfully
85,1,16,3,1,false,false,false,80,75,1
90,0,14,2,1,false,false,false,85,80,1
70,2,16,3,1,false,false,true,78,82,1
60,3,14,3,2,true,true,false,82,78,0
95,0,12,2,1,false,false,false,75,70,1
45,4,16,4,1,true,true,true,90,85,0
80,1,18,3,1,true,false,false,88,82,1
55,3,12,4,1,true,true,false,85,80,0
75,2,16,3,2,false,false,true,80,78,1
88,1,14,2,1,false,false,false,72,75,1
65,3,10,5,1,true,true,true,92,90,0
92,0,16,2,1,false,false,false,80,78,1
78,2,18,3,1,true,true,false,88,85,1
50,4,12,4,1,true,true,true,90,88,0
82,1,16,3,1,false,true,false,82,80,1
68,3,14,3,2,true,false,false,78,75,0
95,0,20,2,1,false,false,true,75,80,1
72,2,16,4,1,true,true,false,88,85,1
58,4,12,5,1,true,true,true,95,90,0
86,1,14,3,1,false,false,false,78,75,1
74,2,18,3,1,true,false,true,82,85,1
62,3,16,4,1,true,true,false,88,82,0
90,0,12,2,2,false,false,false,70,72,1
48,5,14,4,1,true,true,true,90,88,0
83,1,16,3,1,false,true,false,80,82,1
70,2,20,3,1,false,false,true,75,78,1
55,4,12,5,1,true,true,true,92,90,0
88,1,16,2,1,false,false,false,72,70,1
76,2,14,3,2,true,true,false,85,82,1
63,3,16,4,1,true,false,true,80,85,0
92,0,18,2,1,false,false,false,78,75,1
79,1,16,3,1,true,false,false,88,85,1
66,3,12,4,1,true,true,true,92,90,0
85,0,14,2,1,false,false,false,75,72,1
71,2,16,3,1,false,true,false,82,80,1
57,4,10,5,1,true,true,true,95,92,0
89,1,18,3,1,true,false,false,80,78,1
74,2,16,4,1,true,true,true,90,88,1
60,3,14,3,2,false,false,false,72,70,0
94,0,16,2,1,false,false,true,78,80,1
77,2,20,3,1,true,false,false,85,82,1
52,5,12,5,1,true,true,true,95,90,0
83,1,16,3,1,false,true,false,80,78,1
69,3,14,4,1,true,true,false,88,85,0
91,0,14,2,1,false,false,false,70,72,1
75,2,16,3,2,false,false,true,80,82,1
61,4,12,4,1,true,true,true,90,88,0
87,1,18,3,1,true,false,false,82,80,1
73,2,16,3,1,false,true,false,78,75,1
56,4,10,5,1,true,true,true,95,92,0
88,0,14,2,1,false,false,false,72,70,1
78,1,16,3,1,true,false,true,85,82,1
64,3,14,4,1,true,true,false,90,88,0
92,0,18,2,1,false,false,false,75,72,1
80,1,16,3,2,false,true,false,82,80,1
66,3,12,5,1,true,true,true,95,90,0
86,1,20,3,1,false,false,true,78,80,1
70,2,16,4,1,true,true,false,88,85,1
58,4,12,4,1,true,true,true,90,88,0
95,0,16,2,1,false,false,false,70,72,1
76,2,14,3,1,true,false,false,82,80,1
62,3,16,4,1,false,true,true,88,85,0
90,0,12,2,2,false,false,false,72,70,1
48,5,14,5,1,true,true,true,95,92,0
