previous_project_id,title,description,domain,technologies,year
1,Hospital Appointment Booking System,Web-based system for scheduling doctor appointments at a Beirut hospital,Healthcare,"PHP,MySQL,Bootstrap",2018
2,Student Result Management System,Manages and publishes exam results for a Lebanese university,Education,"Java,MySQL,JSP",2017
3,Library Management System,Automates book cataloguing and borrowing for a university library,Education,"C#,SQL Server,WinForms",2019
4,Restaurant POS System,Point of sale and order management for a Lebanese restaurant chain,Food & Beverage,"Java,MySQL,JavaFX",2018
5,Online Shopping Website,E-commerce site for electronics with cart and payment features,Retail,"PHP,MySQL,HTML/CSS",2017
6,Employee Payroll System,Automates salary calculation and payslip generation for an SME,HR,"C#,SQL Server,WinForms",2019
7,Face Recognition Attendance,Marks student attendance using face detection via webcam,Education,"Python,OpenCV,SQLite",2020
8,COVID-19 Tracking Dashboard,Visualises COVID-19 case statistics for Lebanon,Health,"Python,Dash,Plotly",2021
9,Real Estate Listing Website,Lists properties for sale and rent in Lebanon with search and filter,Real Estate,"PHP,MySQL,Bootstrap",2019
10,Inventory Control System,Tracks warehouse stock levels and generates reorder alerts,Logistics,"C#,SQL Server,WinForms",2018
11,Online Quiz Platform,Allows teachers to create and students to take online quizzes,Education,"PHP,MySQL,Bootstrap",2020
12,Sentiment Analysis for Arabic Tweets,Analyses sentiment of Lebanese Arabic tweets using machine learning,NLP,"Python,scikit-learn,NLTK",2021
13,Traffic Accident Prediction,Predicts accident risk zones using historical accident data,Transportation,"Python,Machine Learning,Matplotlib",2021
14,Hotel Management System,Full reservation and billing system for a Lebanese hotel,Tourism,"Java,MySQL,JavaFX",2017
15,Customer Complaint Management,Tracks and resolves customer complaints for a telecom company,Business,"PHP,MySQL,Bootstrap",2018
16,IoT Smart Home Prototype,Controls home lights and appliances via a mobile app,IoT,"Arduino,C,Android",2020
17,E-Learning Management System,Platform for course content delivery and student progress tracking,Education,"PHP,MySQL,Bootstrap",2019
18,Food Nutrition Analyser,Analyses nutritional content of food items from images,Health,"Python,TensorFlow,Flask",2022
19,Online Voting System,Secure anonymous voting system for student union elections,Education,"PHP,MySQL,Cryptography",2020
20,Agricultural Crop Disease Detector,Identifies plant diseases from leaf photos using image classification,Agriculture,"Python,TensorFlow,Flask",2022
21,Budget Expense Tracker App,Mobile app to log daily expenses and view spending analytics,Finance,"Flutter,SQLite,Charts",2021
22,Cybersecurity Intrusion Detection,Detects network intrusions using anomaly detection algorithms,Cybersecurity,"Python,scikit-learn,Pandas",2022
23,Bus Route Optimisation,Optimises bus routes for a Lebanese transport company,Transportation,"Python,Google Maps API,Flask",2021
24,Legal Document Management System,Organises and retrieves legal documents for a law firm,Legal,"C#,SQL Server,WinForms",2019
25,University Timetable Scheduler,Generates conflict-free timetables automatically,Education,"Java,MySQL,Swing",2018
26,Online Blood Donation Portal,Connects blood donors with hospitals and patients,Healthcare,"PHP,MySQL,Bootstrap",2020
27,Chatbot for Banking FAQ,Answers common banking questions using a rule-based chatbot,FinTech,"Python,ChatterBot,Flask",2021
28,Tourism Attraction Recommender,Recommends Lebanese tourist sites based on user preferences,Tourism,"Python,Flask,SQLite",2022
29,Water Distribution Monitoring,Monitors water pipe pressure and leakage using sensors,Environment,"IoT,Python,MQTT",2021
30,Volunteer Management System,Manages volunteer registration and task assignment for NGOs,Social Impact,"PHP,MySQL,Bootstrap",2020
31,Arabic Spell Checker,Detects and corrects spelling errors in Arabic text,NLP,"Python,NLP,Flask",2022
32,Online Pharmacy System,Allows customers to order medicines online with prescription upload,Healthcare,"PHP,MySQL,Bootstrap",2019
33,Smart Parking Sensor System,Detects available parking spaces using ultrasonic sensors,Transportation,"IoT,Arduino,Android",2020
34,University Admission Portal,Manages student applications and admissions for a Lebanese university,Education,"PHP,MySQL,Bootstrap",2018
35,Freelance Marketplace,Connects Lebanese freelancers with clients for short-term projects,Business,"PHP,MySQL,Bootstrap",2021
36,Environmental Air Quality Monitor,Measures and displays air quality data for Beirut neighbourhoods,Environment,"IoT,Python,Plotly",2022
37,Online Auction Platform,Allows users to bid on second-hand items online,Retail,"PHP,MySQL,Bootstrap",2019
38,Supply Chain Tracker,Tracks goods through the supply chain using barcodes,Logistics,"Java,MySQL,JavaFX",2018
39,Student Counselling Booking System,Allows students to book counselling sessions with university advisors,Education,"PHP,MySQL,Bootstrap",2020
40,Electricity Bill Prediction,Predicts monthly electricity bills based on appliance usage patterns,Energy,"Python,Machine Learning,Flask",2022
41,Job Portal for Lebanese Graduates,Connects fresh graduates with entry-level job opportunities,HR,"PHP,MySQL,Bootstrap",2019
42,Mobile Banking App Prototype,Simulates basic mobile banking functionality,FinTech,"Flutter,SQLite,REST API",2021
43,Event Ticketing System,Manages event ticket sales and QR code validation,Entertainment,"PHP,MySQL,QR Code",2020
44,AI Text Summariser for Arabic,Summarises Arabic news articles automatically,NLP,"Python,NLP,Transformers",2022
45,School Grading System,Records and calculates student grades across subjects,Education,"C#,SQL Server,WinForms",2017
46,Construction Project Tracker,Tracks construction project milestones and budgets,Construction,"PHP,MySQL,Bootstrap",2019
47,Grocery Delivery App,Mobile app for ordering groceries from local shops,Retail,"Flutter,Node.js,PostgreSQL",2021
48,Digital Certificate System,Issues and verifies digital certificates for course completions,Education,"PHP,MySQL,QR Code",2020
49,Loan Eligibility Predictor,Predicts whether a loan application will be approved,FinTech,"Python,Machine Learning,Flask",2022
50,Smart Irrigation System,Automates farm irrigation based on soil moisture sensor data,Agriculture,"IoT,Arduino,Python",2021
