project_id,title,description,domain,required_skills,difficulty,estimated_weeks,academic_value,market_value,ai_required,dataset_required,deployment_required
1,Smart Hospital Appointment System,AI-powered scheduling system for Lebanese clinics and hospitals to reduce wait times and no-shows,Healthcare,"Python,SQL,Machine Learning,REST API",3,16,85,90,true,true,true
2,University Course Recommendation Engine,Recommends elective courses to students based on career goals and past academic performance,Education,"Python,Collaborative Filtering,SQL,Flask",3,14,88,80,true,true,false
3,Lebanese SME E-Commerce Platform,Full-stack marketplace for Lebanese small businesses to sell products online,Retail,"React,Node.js,PostgreSQL,Stripe API",4,20,80,95,false,false,true
4,Real-Time Traffic Congestion Predictor,Predicts traffic bottlenecks in Beirut using historical and sensor data,Transportation,"Python,Machine Learning,Data Analysis,Maps API",4,18,90,85,true,true,false
5,NGO Volunteer Coordination Platform,Connects Lebanese NGOs with volunteers for events and disaster relief,Social Impact,"Django,PostgreSQL,REST API,Notifications",2,12,82,70,false,false,true
6,Blockchain Certificate Verification,Issues and verifies academic certificates on a blockchain to prevent fraud,Education,"Solidity,Web3.js,Ethereum,Smart Contracts",5,20,95,75,false,false,true
7,AI Medical Diagnosis Assistant,Assists doctors in diagnosing common conditions using symptom input and ML,Healthcare,"Python,scikit-learn,NLP,REST API",4,18,92,88,true,true,false
8,Restaurant Order Management System,POS and kitchen management system tailored for Lebanese restaurants,Food & Beverage,"React,Node.js,PostgreSQL,WebSocket",3,16,78,90,false,false,true
9,Smart Electricity Monitoring App,Monitors and predicts household electricity consumption during Lebanon power cuts,Energy,"IoT,Python,MQTT,Data Visualization",3,14,85,92,true,true,false
10,Lebanese Dialect NLP Chatbot,Chatbot that understands and responds in Lebanese Arabic dialect,NLP,"Python,Transformers,NLP,FastAPI",5,20,95,80,true,true,false
11,FYP Supervisor Matching System,Matches final year project students with the most suitable supervisors,Education,"Python,Collaborative Filtering,SQL,Flask",3,14,88,72,true,true,false
12,Inventory Management for Pharmacies,Tracks stock levels and automates reordering for Lebanese pharmacies,Healthcare,"React,Node.js,PostgreSQL,REST API",2,12,75,88,false,false,true
13,Remote Patient Monitoring Dashboard,Collects and displays vital signs from IoT devices for remote patients,Healthcare,"IoT,Python,Dashboard,REST API",4,18,90,85,true,true,true
14,AI-Based Resume Screening Tool,Screens and ranks job applicants for Lebanese companies using NLP,HR,"Python,NLP,Machine Learning,Flask",3,14,85,90,true,true,false
15,Tourism Recommendation App,Recommends tourist attractions and itineraries in Lebanon,Tourism,"Python,Flask,Maps API,Recommendation Engine",3,16,80,85,true,true,true
16,Student Attendance Tracking System,Automates attendance using face recognition for university classes,Education,"Python,OpenCV,Face Recognition,Flask",4,18,88,78,true,true,false
17,Crowdfunding Platform for Lebanese Startups,Allows Lebanese entrepreneurs to raise funding from the community,FinTech,"React,Node.js,Stripe,PostgreSQL",4,20,85,90,false,false,true
18,Supply Chain Transparency System,Tracks products from supplier to consumer using QR codes and blockchain,Logistics,"Blockchain,Node.js,QR Code,PostgreSQL",4,18,88,82,false,false,true
19,Mental Health Chatbot for Students,Provides emotional support and mental health resources for university students,Health,"Python,NLP,Transformers,FastAPI",4,16,90,80,true,false,false
20,Smart Parking Management System,Finds and reserves available parking spots in real-time,Transportation,"IoT,Python,Maps API,REST API",3,14,80,90,true,false,true
21,Online Legal Document Generator,Generates standard Lebanese legal documents from user inputs,Legal,"React,Node.js,PDF Generation,PostgreSQL",3,16,82,88,false,false,true
22,Peer-to-Peer Tutoring Platform,Connects university students for peer tutoring sessions in Lebanon,Education,"React,Node.js,Video Call,PostgreSQL",2,12,78,80,false,false,true
23,AI-Powered News Aggregator,Aggregates and summarises Lebanese and Arabic news using NLP,Media,"Python,NLP,Web Scraping,Flask",3,14,85,82,true,true,false
24,Water Quality Monitoring System,Monitors water quality in Lebanese municipalities using IoT sensors,Environment,"IoT,Python,Data Visualization,REST API",4,16,90,78,true,true,false
25,Food Delivery Platform for Local Restaurants,Connects customers with local Lebanese restaurants for home delivery,Food & Beverage,"React,Node.js,Maps API,PostgreSQL",3,18,78,95,false,false,true
26,Telemedicine Platform for Rural Areas,Enables remote video consultations with doctors in rural Lebanon,Healthcare,"React,WebRTC,Node.js,PostgreSQL",4,20,92,90,false,false,true
27,AI Stock Market Predictor,Predicts stock trends for the Beirut Stock Exchange,FinTech,"Python,Machine Learning,Financial APIs,Flask",5,20,90,85,true,true,false
28,University Event Management System,Manages campus events including registration and notifications,Education,"React,Node.js,PostgreSQL,Email API",2,10,72,75,false,false,false
29,Smart Greenhouse Automation,Automates irrigation and lighting in agricultural greenhouses,Agriculture,"IoT,Python,MQTT,Data Visualization",3,16,85,80,true,false,false
30,Cybersecurity Threat Detection System,Detects anomalous network traffic patterns using machine learning,Cybersecurity,"Python,Machine Learning,Network Analysis,Flask",5,20,95,90,true,true,false
31,Property Rental Platform,Lists and searches properties for rent in Lebanon with virtual tours,Real Estate,"React,Node.js,Maps API,PostgreSQL",3,18,80,90,false,false,true
32,AI Writing Assistant for Arabic,Helps Lebanese students improve their Arabic academic writing,Education,"Python,NLP,Transformers,Flask",4,16,90,80,true,false,false
33,Mobile Payment Wallet,Digital wallet for peer-to-peer payments in Lebanese Pounds and USD,FinTech,"React Native,Node.js,Security,PostgreSQL",5,20,88,92,false,false,true
34,Disaster Relief Coordination App,Coordinates emergency responses between NGOs and authorities in Lebanon,Social Impact,"React Native,Node.js,Maps API,Push Notifications",4,18,90,85,false,false,true
35,Agricultural Market Price Tracker,Tracks and forecasts vegetable prices at Lebanese markets,Agriculture,"Python,Data Analysis,Web Scraping,Flask",2,12,80,82,true,true,false
36,Smart Library System,Automates book borrowing and recommends books to students,Education,"Python,Machine Learning,RFID,REST API",3,14,82,72,true,true,false
37,Waste Management Optimisation,Optimises garbage collection routes in Lebanese municipalities,Environment,"Python,Operations Research,Maps API,Flask",4,18,88,80,true,false,false
38,Online Banking Dashboard,Personal finance dashboard with budgeting and expense tracking,FinTech,"React,Node.js,PostgreSQL,Charts",3,16,82,90,false,false,true
39,AI Interview Coach,Simulates technical and HR interviews to prepare CS students for job hunting,Education,"Python,NLP,Speech Recognition,Flask",4,18,90,88,true,false,false
40,Loyalty Rewards Platform for Retailers,Manages loyalty points programs for Lebanese retailers,Retail,"React,Node.js,PostgreSQL,REST API",2,12,75,85,false,false,true
41,Social Media Analytics Tool,Analyses sentiment and engagement of Lebanese brands on social media,Marketing,"Python,NLP,Social APIs,Flask",3,14,82,88,true,true,false
42,University Research Paper Recommender,Recommends academic papers to researchers based on their interests,Education,"Python,NLP,Collaborative Filtering,Flask",3,14,90,72,true,true,false
43,Smart Traffic Light Controller,Adapts traffic light timings based on real-time congestion data,Transportation,"IoT,Python,Computer Vision,REST API",5,20,92,85,true,true,false
44,Online Voting System for Student Unions,Secure digital voting for university student union elections,Education,"React,Node.js,Cryptography,PostgreSQL",3,14,85,72,false,false,true
45,Personalised Nutrition Planner,Recommends meal plans based on health goals and dietary restrictions,Health,"Python,Machine Learning,REST API,Flutter",3,16,82,85,true,true,true
46,E-Learning Platform with AI Tutor,Interactive online course platform with AI question answering,Education,"React,Node.js,NLP,PostgreSQL",4,20,90,88,true,false,true
47,Code Review Automation Tool,Automatically reviews student code submissions for quality and bugs,Education,"Python,AST Analysis,Machine Learning,REST API",4,16,92,80,true,false,false
48,Construction Site Safety Monitor,Detects safety violations on construction sites using computer vision,Construction,"Python,Computer Vision,YOLO,REST API",5,20,90,88,true,true,false
49,Multilingual Customer Support Bot,Chatbot supporting Arabic, English, and French for Lebanese businesses,Business,"Python,NLP,Transformers,FastAPI",4,16,85,90,true,false,true
50,Carbon Footprint Calculator,Calculates and tracks individual or company carbon emissions in Lebanon,Environment,"React,Node.js,PostgreSQL,Charts",2,12,82,78,false,true,false
